OBJECTID,TOWN_ID,USE_CODE,LUC_Assign,USE_DESC
1,122,316,0316,mixed use commercial warehouse
2,40,000,0,Unknown
3,67,000,0,Unknown (Added by MGIS)
4,107,000,0,Unknown
5,144,000,0,Unknown
6,189,000,0,Unknown
7,308,000,0,Unknown
8,73,0101,101,PR RES
9,122,0101,101,single family mixed use
10,141,0101,101,Single Family Residential
11,208,0101,101,"Single Family, Multi-Use"
12,219,0101,101,RESIDNTL
13,220,0101,101,Conventional
14,252,0101,101,Mixed use
15,295,0101,101,Single Family Residential
16,307,0101,101,One Family
17,333,0101,101,Single Family Residential
18,335,0101,101,Mixed use primarily Single Family Residential
19,73,0104,104,Two Family MDL-01
20,122,0104,104,two family mixed use
21,208,0104,104,Two Family
22,220,0104,104,Mixed Use Res
23,252,0104,104,Multiple use - two family
24,295,0104,104,Two-Family Residential
25,307,0104,104,Two Family
26,335,0104,104,Mixed use primarily Two-Family Residential
27,73,0105,105,THREE FAM
28,220,0105,105,Three Family
29,307,0105,105,3 Family
30,119,0108,071,Res - 61B
31,208,0109,109,Multi Hses
32,220,0109,101,Bungalow
33,252,0109,109,Multiple use - multiple houses
34,307,0109,109,Multi Hses
35,2,010C,104,Two Family MDL
36,57,010C,101,Single Fam  MDL-94
37,122,010C,013,mixed use primary residential model 94
38,57,010J,104,TWO FAMILY  MDL-94
39,307,010J,104,Two Family M-94
40,57,010L,104,TWO FAMILY  MDL-96
41,317,011,0,Unknown
42,73,0111,111,APT 4-UNIT
43,220,0111,111,"Apartment, Old Style"
44,252,0111,111,Multiple use - four to eight apartments
45,295,0111,111,Apartments with Four to Eight Units
46,307,0111,111,Apts 4-Unit M-0
47,73,0112,112,APT OVER 8
48,57,011C,111,APT 4-UNIT  MDL-94
49,67,011C,111,APT 4-UNIT  MDL-94
50,220,011C,031,Mixed Use Comm
51,307,011C,111,Apts 4-Unit M-9
52,307,011J,112,Apts Over 8 M-9
53,220,011Z,031,Mixed Use Comm
54,295,0131,131,Potentially Developable Residential Land
55,307,0131,131,RES LAND PO
56,163,0134,0134,"Mixed Use residential/commercial/industrial, primarily residential"
57,25,0137,0137,"Has house, commercial retail store, and sits on Chapter Land"
58,30,0137,0137,Multi-Conver
59,71,0137,0137,Mixed Use- Town Code
60,158,0137,000,Unknown
61,189,0137,0371,"Mixed Use (Primarily Commercial, some Agriculture)"
62,269,0137,0137,Residential/Commercial/61A
63,288,0137,0137,Residential/Commercial/61A
64,30,0138,0138,"Residential, Commercial, Recreational"
